*, CJ1
719, 1.000
720, 0.000
721, 0.250
722, 1.000
723, 1.000
724, 1.000
725, 0.000
726, 1.000
727, 0.000
728, 1.000
729, 0.000
730, 0.000
731, 0.000
732, 0.000
733, 0.000
734, 0.000
735, 1.000
736, 1.000
737, 0.167
738, 1.000
739, 0.000
740, 0.000
741, 0.500
742, 1.000
743, 1.000
744, 0.200
745, 0.333
746, 0.000
747, 1.000
748, 0.333
749, 0.333
750, 0.000
751, 0.000
752, 0.000
753, 1.000
754, 0.000
755, 0.000
756, 1.000
757, 0.000
758, 1.000
759, 1.000
760, 1.000
761, 0.000
762, 1.000
763, 1.000
764, 0.000
765, 0.000
766, 0.000
767, 0.000
768, 0.000
769, 1.000
770, 1.000
771, 1.000
772, 1.000
773, 0.000
774, 0.333
775, 0.100
776, 1.000
777, 1.000
778, 1.000
779, 0.333
780, 1.000
781, 1.000
782, 1.000
783, 0.000
784, 1.000
785, 1.000
786, 0.000
787, 1.000
788, 0.000
789, 1.000
790, 1.000
791, 1.000
792, 1.000
793, 1.000
794, 1.000
795, 1.000
796, 1.000
797, 1.000
798, 1.000
799, 1.000
800, 1.000
801, 1.000
802, 1.000
803, 1.000
804, 1.000
805, 1.000
806, 1.000
807, 1.000
808, 1.000
809, 1.000
810, 0.000
811, 1.000
812, 0.000
813, 1.000
814, 1.000
815, 0.200
816, 0.500
817, 1.000
818, 1.000
819, 0.000
820, 1.000
821, 0.200
822, 0.500
823, 0.250
824, 0.500
825, 0.000
826, 0.333
827, 1.000
828, 0.333
829, 0.200
830, 1.000
831, 1.000
832, 0.000
833, 0.000
834, 0.000
835, 1.000
836, 1.000
837, 0.000
838, 0.000
839, 0.000
840, 1.000
841, 0.500
842, 0.000
843, 0.000
844, 0.000
845, 0.000
846, 0.000
847, 1.000
848, 0.000
849, 0.000
850, 1.000
851, 0.000
852, 1.000
853, 1.000
854, 0.000
855, 1.000
856, 0.000
857, 0.000
858, 0.000
859, 1.000
860, 0.000
861, 0.000
862, 1.000
863, 0.000
864, 0.000
865, 0.250
866, 0.000
867, 0.111
868, 0.000
869, 0.000
870, 0.000
871, 1.000
872, 1.000
873, 1.000
874, 1.000
875, 0.000
876, 1.000
877, 1.000
878, 0.000
879, 1.000
880, 0.000
881, 1.000
882, 1.000
883, 1.000
884, 0.000
885, 0.100
886, 0.100
887, 1.000
888, 1.000
889, 1.000
890, 0.000
